vh,wind,humidity,temp,ibh,dpg,ibt,vis,PC1,PC2,PC3,PC4,PC5,PC6,PC7,ozone,ozone_class
-0.384,-0.389,-1.519,-1.507,0.067,-1.188,-0.969,1.583,-2.201,-1.95,0.341,-0.173,-0.779,-0.008,0.553,3,0
-0.478,-0.826,-1.065,-1.161,-1.101,-1.16,-0.433,-0.31,-0.593,-1.679,-1.059,0.746,-1.047,-0.384,0.275,5,0
0.09,-0.826,-0.359,-0.537,-0.623,0.214,-0.289,-0.814,0.184,-0.369,-1.178,0.106,-0.19,-0.66,0.469,5,0
-0.289,-0.389,0.548,-1.853,-0.558,-0.066,-0.525,-0.814,-0.629,0.166,-1.613,0.689,-0.704,0.224,1.06,6,0
0.374,0.484,-1.973,-1.161,0.032,-1.412,-0.498,-0.31,-1.046,-1.884,0.298,1.476,0.253,-0.594,0.778,4,0
0.374,-0.826,-1.67,-0.468,-1.121,-1.272,0.272,1.583,-0.243,-2.567,0.711,-0.489,-1.293,-0.272,0.358,4,0
-0.478,-0.826,0.75,-1.438,-0.272,0.158,-0.616,-0.057,-0.823,0.226,-1.431,-0.247,-0.73,0.43,0.669,6,0
-0.478,-0.826,0.044,-1.23,0.045,-0.543,-0.916,-0.057,-1.173,-0.556,-1.209,0.042,-0.32,0.364,0.388,7,0
0.185,1.358,-1.569,-0.537,1.348,-1.02,-0.903,-0.057,-1.664,-0.849,1.083,1.343,1.269,-0.273,0.302,4,0
-0.289,-0.826,-0.712,-0.745,-1.367,-0.235,0.155,0.321,-0.002,-1.068,-0.554,-0.124,-1.414,-0.569,0.3,6,0
0.09,0.484,-1.267,-0.745,-1.155,-1.721,0.259,-1.067,0.26,-1.648,-0.191,2.125,-0.583,-0.355,0.303,5,0
0.28,0.484,-1.973,-0.537,1.348,-1.721,-0.342,0.952,-1.665,-2.13,1.339,0.564,0.92,0.103,0.081,4,0
0.753,-0.826,-1.973,-0.26,-0.735,-1.973,1.069,1.583,0.182,-3.312,1.137,-0.278,-0.857,0.04,0.17,4,0
1.132,-1.263,-1.973,-0.052,1.348,-2.366,0.324,0.952,-0.544,-3.486,0.684,-0.408,1.313,0.574,-0.004,7,0
0.848,0.048,-1.973,0.156,1.348,-1.609,0.168,0.952,-0.773,-2.359,1.483,0.051,1.259,0.069,-0.046,5,0
0.28,-0.389,0.044,0.363,-1.074,-0.459,0.364,0.321,0.856,-0.62,0.088,-0.176,-0.825,0.169,-0.042,9,0
-0.668,0.048,0.75,-0.676,-1.21,-2.394,0.638,-1.445,0.715,-0.945,-1.23,2.256,-1.037,1.355,-0.462,4,0
-0.289,-0.389,-1.973,-0.537,1.348,-2.338,-0.459,0.195,-1.665,-2.663,0.2,0.822,1.017,0.234,-0.529,3,0
0.09,-0.826,-1.973,-0.537,1.348,-2.113,-0.655,1.583,-1.973,-2.955,0.756,-0.418,0.67,0.463,-0.181,4,0
-0.194,-0.389,-1.62,-0.26,1.348,-1.216,-0.655,0.952,-1.718,-1.828,0.582,-0.226,0.834,0.0,-0.354,4,0
-0.478,0.048,0.044,0.502,0.262,0.018,-0.59,0.321,-0.48,0.225,0.156,-0.263,0.093,0.051,-0.579,5,0
-0.952,0.048,0.598,-0.745,0.593,0.158,-0.969,0.195,-1.451,0.715,-0.575,-0.058,-0.105,0.441,-0.088,6,0
-0.668,-0.826,0.296,-0.606,-1.367,-0.767,-0.107,-0.941,0.343,-0.532,-1.594,0.76,-1.148,0.14,-0.126,9,0
0.659,0.048,-1.973,-0.191,-1.097,-1.945,0.69,-0.688,0.749,-2.551,0.297,1.629,-0.286,-0.607,0.194,6,0
0.564,0.048,-1.973,0.156,-0.434,-0.908,0.272,0.321,0.106,-1.898,0.9,0.417,-0.024,-0.886,0.11,6,0
0.374,-0.826,-1.519,0.086,-0.988,-0.908,0.351,-0.057,0.564,-1.969,-0.091,0.18,-0.454,-0.758,0.006,11,1
0.469,-1.263,-1.317,0.086,-1.134,-1.553,1.082,-1.067,1.42,-2.416,-0.837,0.798,-0.26,-0.463,-0.212,10,0
0.659,0.048,-1.973,0.017,-1.196,-1.3,1.069,-0.057,0.902,-2.266,0.763,0.956,-0.581,-0.865,0.158,7,0
0.185,1.358,0.901,0.086,-0.975,-0.683,0.377,-1.496,1.19,0.739,-0.103,2.018,-0.317,0.526,0.136,12,1
-0.763,-0.826,0.548,-0.537,0.599,1.251,-0.864,-1.193,-0.652,1.181,-1.847,-0.301,0.579,-0.535,-0.013,9,0
-1.52,-0.826,0.901,-1.784,1.348,1.476,-1.674,-0.31,-2.494,1.595,-2.064,-0.743,0.302,-0.064,0.324,2,0
